ORF_ID	ARO	Database	Cut_Off	Drugs	Drug Classes	Original Drug Classes
JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM	3002300	deeparg	Perfect	['carbapenem', 'cephalosporin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	beta-lactam
YP_002385298|FEATURES|mdtN|multidrug|mdtN	3003548	deeparg	Loose	['acriflavine', 'puromycin']	['nucleoside antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:585322871:ref:WP_024204537.1:|FEATURES|emrA|multidrug|emrA	3000027	deeparg	Strict	['nalidixic acid']	['fluoroquinolone antibiotic']	multidrug
JQ002629.1.gene1.p01|FEATURES|IMP-32|beta-lactam|IMP	3002223	deeparg	Perfect	['carbapenem', 'cephalosporin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	beta-lactam
NC_010558.1.6275948.p01|FEATURES|qepA|fluoroquinolone|qepA	3004103	deeparg	Strict	['ciprofloxacin', 'moxifloxacin', 'norfloxacin']	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	fluoroquinolone
gi:488349287:ref:WP_002418672.1:|FEATURES|vanB|glycopeptide|vanB	3000013	deeparg	Strict	['vancomycin']	['glycopeptide antibiotic']	glycopeptide
gi:446910356:ref:WP_000987612.1:|FEATURES|adeB|multidrug|adeB	3000775	deeparg	Strict	['tigecycline', 'tetracycline']	['tetracycline antibiotic', 'tetracycline antibiotic']	multidrug
gi:695837578:ref:WP_032750955.1:|FEATURES|emrA|multidrug|emrA	3004588	deeparg	Strict	['erythromycin', 'gentamicin C', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tobramycin', 'ceftazidime', 'ertapenem', 'piperacillin', 'azithromycin', 'imipenem', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'norfloxacin', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic']	multidrug
gi:651585284:ref:WP_026580461.1:|FEATURES|class_A|beta-lactam|class_A	3007101	deeparg	Strict	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
Q32DT3|FEATURES|arnA|polymyxin|arnA	3002985	deeparg	Loose	['polymyxin B']	['peptide antibiotic']	polymyxin
